Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI,SF,16,Sat,4:30PM,1,7.1%,-5.0,0,-5.0,11.5,4.72,-0.28000000000000025,-4.72,Too Close To Call,0,,
2020,ATL,KC,16,Sun,1:00PM,0,-2.1%,10.5,0,10.5,-26.8,-7.97,2.5300000000000002,7.97,"[[38.5, 9.5], [6.0, -22.5]]",1,ATL,
2020,BAL,NYG,16,Sun,1:00PM,1,11.6%,-11.0,0,-11.0,25.1,7.62,-3.38,-7.62,"[[23.0, -6.0], [-9.5, -38.5]]",1,NYG,
2020,BUF,NE,16,Mon,8:15PM,0,23.4%,-7.0,0,-7.0,28.5,4.16,-2.84,-4.16,"[[26.5, -2.5], [-6.0, -35.0]]",1,NE,
2020,CAR,WAS,16,Sun,1:00PM,0,-3.8%,2.5,0,2.5,-2.8,-2.83,-0.33000000000000007,2.83,Too Close To Call,0,,
2020,CHI,JAX,16,Sun,1:00PM,0,1.5%,-7.5,0,-7.5,28.1,4.07,-3.4299999999999997,-4.07,"[[26.5, -2.5], [-6.0, -35.0]]",1,JAX,
2020,CIN,HOU,16,Sun,1:00PM,0,-23.1%,8.0,0,8.0,-10.3,-4.46,3.54,4.46,"[[35.0, 6.0], [2.5, -26.0]]",1,CIN,
2020,CLE,NYJ,16,Sun,1:00PM,0,0.7%,-9.5,0,-9.5,31.9,4.94,-4.56,-4.94,"[[26.0, -3.0], [-6.5, -35.5]]",1,NYJ,
2020,DAL,PHI,16,Sun,4:25PM,1,-11.4%,2.0,0,2.0,1.4000000000000004,2.53,4.529999999999999,-2.53,"[[28.0, -1.0], [-4.5, -33.0]]",1,DAL,
2020,DEN,LAC,16,Sun,4:05PM,0,-24.5%,3.0,0,3.0,0.3000000000000007,-2.16,0.8399999999999999,2.16,Too Close To Call,0,,
2020,DET,TB,16,Sat,1:00PM,1,-18.8%,9.5,0,9.5,-41.1,-7.07,2.4299999999999997,7.07,"[[38.0, 9.0], [5.5, -23.5]]",1,DET,
2020,GB,TEN,16,Sun,8:20PM,1,22.1%,-3.0,0,-3.0,9.900000000000002,4.38,1.38,-4.38,Too Close To Call,0,,
2020,HOU,CIN,16,Sun,1:00PM,1,-12.8%,-8.0,0,-8.0,10.3,4.46,-3.54,-4.46,"[[26.0, -2.5], [-6.0, -35.0]]",1,CIN,
2020,IND,PIT,16,Sun,1:00PM,0,17.3%,-1.5,0,-1.5,0.3000000000000007,-2.16,-3.66,2.16,"[[33.0, 4.0], [0.5, -28.5]]",1,PIT,
2020,JAX,CHI,16,Sun,1:00PM,1,-26.6%,7.5,0,7.5,-28.1,-4.07,3.4299999999999997,4.07,"[[35.0, 6.0], [2.5, -26.5]]",1,JAX,
2020,KC,ATL,16,Sun,1:00PM,1,24.7%,-10.5,0,-10.5,26.8,7.97,-2.5300000000000002,-7.97,"[[22.5, -6.0], [-9.5, -38.5]]",1,ATL,
2020,LAC,DEN,16,Sun,4:05PM,1,-24.8%,-3.0,0,-3.0,-0.3000000000000007,2.16,-0.8399999999999999,-2.16,Too Close To Call,0,,
2020,LAR,SEA,16,Sun,4:25PM,0,20.3%,1.5,0,1.5,4.9,-1.15,0.3500000000000001,1.15,Too Close To Call,0,,
2020,LV,MIA,16,Sat,8:15PM,1,-10.0%,3.0,0,3.0,-24.6,-3.27,-0.27,3.27,Too Close To Call,0,,
2020,MIA,LV,16,Sat,8:15PM,0,14.6%,-3.0,0,-3.0,24.6,3.27,0.27,-3.27,Too Close To Call,0,,
2020,MIN,NO,16,Fri,4:30PM,0,-6.7%,7.0,0,7.0,-37.5,-10.2,-3.1999999999999993,10.2,"[[41.0, 12.0], [8.5, -20.5]]",1,NO,
2020,NE,BUF,16,Mon,8:15PM,1,-5.1%,7.0,0,7.0,-28.5,-4.16,2.84,4.16,"[[35.0, 6.0], [2.5, -26.5]]",1,NE,
