Game,Spread,EGO,Spread Target,Pick
BAL @ PIT,PIT at -10.0,PIT wins by 3.49,Unreliable Prediction Due To QB/COVID,
HOU @ DET,HOU at -3.0,DET wins by 3.56,DET (at +2.0 or better),DET
WAS @ DAL,DAL at -2.5,DAL wins by 1.45,Too Close To Call,
ARI @ NE,ARI at -1.0,ARI wins by 2.36,Too Close To Call,
CAR @ MIN,MIN at -3.0,MIN wins by 3.03,Too Close To Call,
CLE @ JAX,CLE at -7.0,JAX wins by 0.35,JAX (at +1.5 or better),JAX
LAC @ BUF,BUF at -4.0,BUF wins by 5.03,Too Close To Call,
LV @ ATL,LV at -3.5,ATL wins by 1.41,ATL (at +0.5 or better),ATL
MIA @ NYJ,MIA at -7.5,MIA wins by 5.22,NYJ (at +7.0 or better),NYJ
NYG @ CIN,NYG at -6.5,NYG wins by 0.01,Unreliable Prediction Due To QB Injury,
TEN @ IND,IND at -3.0,IND wins by 5.35,IND (at -3.5 or better),IND
NO @ DEN,NO at -17.0,NO wins by 9.8,Unreliable Prediction Due To QB Injury,
SF @ LAR,LAR at -5.5,LAR wins by 4.49,Too Close To Call,
KC @ TB,KC at -3.5,TB wins by 2.47,TB (at +0.5 or better),TB
CHI @ GB,GB at -8.0,GB wins by 4.1,CHI (at +6.0 or better),CHI
SEA @ PHI,SEA at -6.0,SEA wins by 3.31,PHI (at +5.0 or better),PHI
